Id,MSSubClass,LotFrontage,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,TotalBsmtSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageArea
1484,120,43,3203,Inside,Blmngtn,TwnhsE,1Story,7,5,2006,Gable,1145,1145,2,6,437
1485,80,67,13300,Inside,Gilbert,1Fam,SLvl,,5,2004,Gable,384,1374,3,7,400
1486,60,63,8577,Inside,Gilbert,1Fam,2Story,7,5,2004,Gable,847,1733,3,7,433
1487,60,60,17433,CulDSac,NoRidge,1Fam,2Story,8,5,1998,Hip,1629,2475,4,7,962
1488,20,73,8987,Inside,Somerst,1Fam,1Story,8,5,2005,Gable,1595,1595,2,6,880
1489,20,92,9215,Inside,Somerst,1Fam,1Story,7,5,2009,Hip,1218,1218,2,4,676
1490,20,84,10440,Corner,Somerst,1Fam,1Story,6,5,2005,Gable,1468,1468,2,6,528
1491,,70,11920,Inside,SawyerW,1Fam,2Story,7,5,2004,Gable,831,1659,3,8,484
1492,30,70,9800,Corner,SawyerW,1Fam,1Story,5,5,2120,Gable,816,1012,2,5,429
1493,20,39,15410,CulDSac,Sawyer,1Fam,1Story,,6,1974,Hip,1208,1494,3,7,461
1494,60,85,13143,Inside,NoRidge,1Fam,2Story,8,5,1993,Gable,1231,2349,Nan,9,762
1495,60,88,11134,Inside,NoRidge,1Fam,2Story,8,5,1992,Gable,1390,2225,4,7,713
1496,120,25,4835,CulDSac,Somerst,TwnhsE,:-,7,5,2004,Gable,1488,1488,2,6,506
1497,160,39,3515,Inside,Somerst,TwnhsE,2Story,7,5,2004,Gable,840,1680,2,3,588
1498,160,30,3215,Inside,Somerst,TwnhsE,2Story,7,5,2004,Gable,600,1200,2,4,480
1499,160,24,2544,Inside,Somerst,Twnhs,2Story,7,5,2004,Gable,600,1200,2,4,480
1500,160,24,2544,Inside,Somerst,Twnhs,2Story,6,5,2005,Gable,600,1236,2,4,480
1501,160,NA,2980,Corner,Somerst,TwnhsE,2Story,6,5,2000,Gable,756,1512,2,5,440
1502,160,NA,2403,FR2,Somerst,TwnhsE,2Story,7,5,2003,Gable,530,1080,2,4,496
1503,20,57,12853,Inside,Somerst,1Fam,__,8,5,2010,Gable,1642,1418,1,6,852
1504,60,68,7379,Inside,Somerst,1Fam,2Story,8,5,2000,Gable,975,1848,3,7,592
1505,20,80,8000,Inside,Somerst,1Fam,1Story,7,5,2002,Gable,1492,1492,3,6,596
1506,20,NA,10456,Inside,NWAmes,1Fam,1Story,6,6,1967,Hip,1829,1829,4,8,535
1507,60,80,10791,Inside,NWAmes,1Fam,2Story,6,5,1993,Gable,1280,2495,4,9,660
1508,50,NA,18837,Inside,NWAmes,1Fam,?,6,5,1978,Gable,1224,1891,3,7,678
1509,60,80,9600,Inside,NWAmes,1Fam,2Story,6,6,1971,Gable,715,1645,4,7,441
1510,20,80,9600,Inside,NAmes,1Fam,1Story,5,5,1966,Hip,1232,1232,3,6,490
1511,20,90,9900,Corner,NAmes,1Fam,1Story,5,5,1966,Hip,1209,1209,3,6,504
1511,20,88,9680,Inside,NAmes,1Fam,1Story,5,6,1967,Gable,1510,1510,3,6,517
1513,80,NA,10600,Inside,NAmes,1Fam,SLvl,6,5,1964,Gable,533,1775,3,8,480
1514,90,98,13260,Inside,NAmes,Duplex,1Story,5,6,1962,Hip,1728,1728,6,10,0
1515,50,68,9724,Inside,NAmes,1Fam,1.5Fin,5,7,1952,Gable,1140,2461,3,7,400
1516,50,120,17360,Corner,NAmes,1Fam,1.5Fin,6,6,1949,Gable,782,1556,3,6,470
1517,85,75,11380,Inside,NAmes,1Fam,SFoyer,6,8,1966,Gable,1080,1128,2,5,315
1518,90,70,8267,Corner,NAmes,Duplex,1Story,5,5,1958,Gable,1604,1604,4,8,576
1519,20,70,8197,Inside,NAmes,1Fam,1Story,7,5,2003,Gable,1480,1480,3,7,620
1520,20,NA,8050,Inside,NAmes,1Fam,1Story,5,5,1959,Hip,1143,1143,3,6,308
1521,20,87,10725,Inside,NAmes,1Fam,1Story,5,5,1959,Hip,1206,1206,3,6,312
1522,,80,10032,Inside,NAmes,1Fam,1Story,6,5,1959,Gable,1244,1580,3,6,440
1523,50,60,8382,Inside,NAmes,1Fam,1.5Fin,4,5,1956,Gable,832,1337,3,5,263
1524,20,60,10950,Inside,NAmes,1Fam,1Story,5,7,1952,Gable,864,1064,2,4,318
1525,20,119,10895,Corner,NAmes,1Fam,1Story,5,6,1955,Gable,972,972,3,5,305
1526,190,70,13587,Inside,NAmes,2fmCon,1Story,5,5,1958,Gable,988,988,2,5,264
1527,30,65,7898,Corner,NAmes,1Fam,1Story,4,7,1920,Gable,576,985,2,4,676
1528,50,60,8064,Inside,NAmes,1Fam,1.5Fin,6,8,1948,Gable,816,1224,3,5,280
1529,20,81,7635,Corner,NAmes,1Fam,1Story,5,6,1960,Gable,1175,1175,3,6,484
1530,20,80,9760,Inside,NAmes,1Fam,1Story,6,7,1963,Hip,1395,1395,2,7,440
1531,50,60,4800,Corner,OldTown,1Fam,1.5Fin,4,5,1900,Hip,709,1844,3,9,240
1532,30,56,4485,Inside,OldTown,1Fam,1Story,5,7,1920,Gable,936,936,2,5,0
1533,20,69,5805,Inside,OldTown,1Fam,1Story,5,7,1957,Hip,1347,1347,3,6,551
1534,45,50,6900,Corner,OldTown,1Fam,1.5Fin,6,7,1938,Gable,827,1251,3,6,240
1535,50,69,11851,Inside,OldTown,1Fam,1.5Fin,5,7,1948,Gable,1027,1633,Nan,7,240
1536,50,NA,8239,Inside,OldTown,1Fam,1.5Fin,5,6,1920,Gable,1008,1245,3,6,315
1537,30,68,9656,Inside,OldTown,1Fam,1Story,2,2,1923,Gable,678,832,2,5,780
1538,70,60,9600,Corner,OldTown,1Fam,2Story,8,9,1900,Gable,930,1566,3,7,288
1539,70,50,9000,Inside,OldTown,1Fam,2Story,8,9,1890,Gable,346,2268,3,7,624
1540,190,100,9045,Inside,OldTown,2fmCon,2Story,5,3,1910,Gable,840,2256,4,12,0
1541,70,60,10560,Inside,OldTown,1Fam,2Story,6,7,1922,Gable,738,1470,2,6,624
1542,50,53,5830,Corner,BrkSide,1Fam,1.5Fin,5,6,1950,Gable,988,1612,3,7,363
1543,75,NA,7793,Corner,BrkSide,1Fam,2.5Unf,7,7,1922,Gable,1108,2068,3,8,315
1544,30,50,5000,Inside,BrkSide,1Fam,1Story,4,7,1925,Gable,765,765,2,4,200
1545,50,50,6000,Inside,BrkSide,1Fam,1.5Fin,6,7,1939,Gable,608,1132,2,5,240
1546,50,50,6000,Inside,BrkSide,1Fam,1.5Fin,6,6,1940,Gable,572,1196,3,6,576
1547,50,53,6360,Corner,BrkSide,1Fam,1.5Fin,5,6,1942,Gable,835,1453,3,7,240
1548,50,50,6000,Inside,BrkSide,1Fam,1.5Fin,6,7,1948,Gable,780,1416,3,6,312
1549,50,52,6240,Inside,BrkSide,1Fam,1.5Fin,5,7,1936,Gable,528,1040,2,5,624
1550,50,52,6240,Inside,BrkSide,1Fam,1.5Fin,5,5,1930,Gable,928,1536,4,7,480
1551,30,51,6120,Inside,OldTown,1Fam,1Story,6,5,1923,Gable,1124,1068,2,5,288
1552,50,57,8094,Inside,OldTown,1Fam,1.5Fin,4,5,1915,Gable,888,1962,4,9,572
1553,70,60,12900,Inside,OldTown,1Fam,2Story,6,8,1912,Gable,780,1560,3,7,0
1554,70,52,3068,Inside,OldTown,1Fam,2Story,6,8,1920,Gable,662,1324,3,6,180
1555,20,100,15263,Inside,ClearCr,1Fam,1Story,5,5,1959,Gable,1422,1675,3,8,365
1556,50,72,10632,Inside,ClearCr,1Fam,1.5Fin,5,3,1917,Gable,689,1224,3,6,180
1557,190,60,9900,Inside,SWISU,2fmCon,1.5Fin,5,4,1915,Gable,1212,1392,3,6,0
1558,50,65,6001,Inside,SWISU,1Fam,1.5Fin,6,5,1940,Gable,600,919,3,5,231
1559,70,NA,6449,Inside,SWISU,1Fam,2Story,4,1,1907,Gambrel,707,1884,4,7,0
1560,590,60,6048,Corner,SWISU,2fmCon,1.5Fin,5,7,1910,Gable,856,1680,2,7,450
1561,90,72,10773,Inside,Sawyer,Duplex,1Story,4,3,1967,Gable,1832,1832,4,8,0
1562,20,65,7800,Inside,Sawyer,1Fam,1Story,5,7,1966,Hip,864,892,3,5,416
1563,20,65,7832,Inside,Sawyer,1Fam,1Story,5,5,1968,Hip,864,864,2,4,280
1564,90,NA,7424,Inside,Sawyer,Duplex,SFoyer,5,5,1978,Gable,1319,1373,3,5,591
1565,60,86,11227,Inside,Sawyer,1Fam,2Story,5,5,1968,Gable,720,1440,4,7,480
1566,20,NA,20062,Inside,ClearCr,1Fam,1Story,7,7,1977,Hip,1420,1483,1,4,690
1567,30,94,9259,Corner,Sawyer,1Fam,1Story,4,4,1927,Gable,660,756,2,4,440
1568,60,NA,17082,CulDSac,ClearCr,1Fam,2Story,6,5,1978,Gable,1117,1981,4,8,522
1569,50,124,18600,Inside,Edwards,1Fam,1.5Fin,3,4,1938,Gable,972,1610,4,8,480
1570,20,65,11479,Inside,Edwards,1Fam,1Story,6,7,1950,Gable,663,1074,3,6,467
1571,50,50,9350,Inside,Edwards,1Fam,1.5Fin,4,6,1947,Gable,756,1531,3,8,209
1572,20,75,9525,Inside,Edwards,1Fam,1Story,5,7,1954,Gable,1172,1172,3,5,366
1573,20,44,17485,Inside,Edwards,1Fam,1Story,7,5,2009,Gable,1508,1508,1,5,572
1574,20,NA,11200,CulDSac,Edwards,1Fam,1Story,5,3,1964,Gable,1250,1298,3,5,504
1575,20,83,11980,Inside,SawyerW,1Fam,1Story,7,5,1987,Gable,1433,1433,1,4,528
1576,60,87,12361,CulDSac,SawyerW,1Fam,2Story,6,7,1993,Gable,946,1802,3,8,1017
1577,20,64,7360,Inside,CollgCr,1Fam,1Story,7,5,2010,Gable,1222,1222,2,6,615
1578,50,82,14235,Inside,SawyerW,1Fam,1.5Fin,6,8,1900,Gable,676,1445,3,6,484
1579,85,82,11105,Corner,CollgCr,1Fam,SFoyer,5,5,1996,Gable,870,965,2,4,580
1580,60,NA,9337,Inside,CollgCr,1Fam,2Story,7,5,1997,Gable,878,1692,3,8,513
1581,20,38,15240,FR2,CollgCr,1Fam,1Story,5,8,1977,Gable,1026,1026,3,5,308
1582,20,68,7480,Inside,CollgCr,1Fam,1Story,5,6,1972,Gable,876,876,3,5,484
1583,20,80,10389,Inside,CollgCr,1Fam,1Story,8,5,2003,Hip,1978,1978,3,8,850
1584,60,75,9375,Inside,CollgCr,1Fam,2Story,7,5,1997,Gable,1040,2098,4,9,621
1585,120,NA,4435,Inside,CollgCr,TwnhsE,1Story,6,5,2003,Gable,848,848,1,4,420
1586,30,67,8777,Inside,Edwards,1Fam,1Story,3,6,1945,Gable,0,640,2,5,240
1587,20,68,8842,Corner,Edwards,1Fam,1Story,5,6,1954,Gable,381,992,3,6,319
1588,20,60,10044,CulDSac,Edwards,1Fam,1Story,5,6,1968,Gable,1196,1196,3,6,336
1589,50,89,11792,Inside,Edwards,1Fam,1.5Fin,4,5,1948,Gable,744,1120,2,5,480
1590,80,65,6305,Inside,Edwards,1Fam,SLvl,6,6,1975,Gable,1008,1096,3,5,352
1591,20,64,6410,Inside,Edwards,1Fam,1Story,4,5,1958,Hip,960,960,3,5,0
1592,30,67,4853,Inside,SWISU,1Fam,1Story,5,6,1924,Gable,1107,1296,2,5,260
1593,30,NA,7890,Corner,SWISU,1Fam,1Story,6,6,1939,Gable,856,856,2,4,399
1594,90,60,7200,Inside,SWISU,Duplex,2Story,4,6,1967,Flat,0,2650,6,10,0
1595,50,51,9839,Inside,SWISU,1Fam,1.5Fin,5,2,1931,Gable,894,1666,3,7,0
1596,50,78,10452,Inside,Crawfor,1Fam,1.5Fin,7,6,1941,Gable,1528,2133,4,8,312
1597,90,78,15600,Inside,Crawfor,Duplex,2Story,5,6,1950,Gable,1032,2177,5,11,484
1598,80,85,19645,FR2,Crawfor,1Fam,SLvl,7,6,1994,Gable,423,1652,3,6,473
1599,120,35,3907,Inside,Blueste,TwnhsE,1Story,8,6,1989,Gable,982,1034,1,4,598
1600,620,35,3907,Inside,Blueste,TwnhsE,1Story,8,5,1989,Gable,1191,1191,2,5,531
1601,30,58,8154,Inside,IDOTRR,1Fam,1Story,2,5,1941,Gable,480,540,1,4,200
1602,50,50,9140,Inside,IDOTRR,1Fam,1.5Fin,6,5,1921,Gable,629,1107,2,5,625
1603,30,66,8712,Corner,IDOTRR,1Fam,1Story,4,7,1896,Hip,756,952,3,5,330
1604,120,44,3811,Corner,Crawfor,TwnhsE,1Story,8,5,2004,Hip,1594,1646,2,5,525
1605,60,85,11050,Inside,Mitchel,1Fam,2Story,8,5,1998,Gable,1049,1916,3,8,741
1606,80,74,9620,Inside,Mitchel,1Fam,SLvl,6,7,1977,Gable,1243,1285,3,6,473
1607,90,NA,12760,Inside,Mitchel,Duplex,1Story,6,5,1976,Gable,1958,2048,5,9,776
1608,20,88,11896,Corner,Timber,1Fam,1Story,7,5,2008,Gable,1336,1346,3,6,660
1609,20,73,9803,Inside,Timber,1Fam,1Story,7,5,2009,Gable,1214,1214,2,6,520
1610,60,73,9802,Inside,Timber,1Fam,2Story,5,5,2006,Gable,384,1444,3,7,400
1611,20,85,15300,Inside,Mitchel,1Fam,1Story,5,5,1965,Hip,1068,1264,2,7,528
1612,20,93,10114,Inside,Mitchel,1Fam,1Story,5,5,2004,Gable,1430,1430,3,7,624
1613,20,NA,11875,Inside,Mitchel,1Fam,1Story,5,5,1999,Gable,1344,1344,3,7,686
1614,120,31,2394,Inside,MeadowV,Twnhs,1Story,5,6,1973,Gable,945,945,2,5,253
1615,160,21,1476,Inside,MeadowV,Twnhs,2Story,4,7,1970,Gable,546,1092,3,5,0
1616,160,21,1900,Inside,MeadowV,TwnhsE,2Story,4,4,1970,Gable,546,1092,3,5,0
1617,160,21,1890,Inside,MeadowV,TwnhsE,2Story,4,6,1972,Gable,546,1092,3,5,286
1618,20,50,6953,Inside,Mitchel,1Fam,1Story,5,7,1971,Gable,864,874,3,5,352
1619,20,76,12887,Inside,Mitchel,1Fam,1Story,5,7,1984,Gable,833,833,2,5,495
1620,90,70,7700,Inside,Mitchel,Duplex,2Story,5,2,1985,Gable,1216,2432,4,10,616
1621,60,63,10475,Inside,Mitchel,1Fam,2Story,5,5,1991,Gable,624,1274,3,6,576
1622,50,68,10544,Inside,Mitchel,1Fam,1.5Fin,5,5,1969,Gable,864,1479,5,8,275
1623,20,76,9892,Inside,Mitchel,1Fam,1Story,8,5,1994,Hip,1679,1803,3,6,482
1624,60,74,12961,Inside,Mitchel,1Fam,2Story,6,5,1993,Gable,1152,1797,3,7,616
1625,20,74,13008,Inside,NAmes,1Fam,1Story,6,5,1956,Gable,882,882,2,5,502
1626,20,85,10200,Inside,NAmes,1Fam,1Story,6,5,1974,Hip,1434,1434,4,7,528
1627,60,88,10179,Corner,Gilbert,1Fam,2Story,6,5,1997,Gable,945,1608,3,7,470
1628,60,NA,11792,Inside,Gilbert,1Fam,2Story,8,5,2003,Gable,1008,2283,4,9,632
1629,80,60,8400,Inside,Gilbert,1Fam,SLvl,7,5,1996,Gable,384,1628,3,7,390
1630,120,28,7296,CulDSac,StoneBr,TwnhsE,1Story,8,5,2004,Gable,2208,2522,1,8,564
1631,120,61,7380,Corner,StoneBr,1Fam,1Story,8,5,1998,Gable,1418,1478,2,5,495
1632,120,57,8013,Corner,StoneBr,TwnhsE,1Story,8,5,1995,Gable,1587,1734,2,6,528
1633,80,57,8923,Inside,Gilbert,1Fam,SLvl,7,5,1998,Gable,384,1382,3,7,396
1634,60,60,7500,Inside,Gilbert,1Fam,2Story,6,5,1998,Gable,952,1636,3,7,440
1635,60,NA,8803,Inside,Gilbert,1Fam,2Story,6,5,1994,Gable,707,1516,3,7,409
1636,20,58,7250,Inside,Gilbert,1Fam,1Story,6,5,1993,Gable,1181,1190,3,6,430
1637,60,85,11900,Inside,Gilbert,1Fam,2Story,5,6,1977,Gable,1122,1934,3,6,567
1638,60,NA,13250,Inside,NWAmes,1Fam,2Story,7,6,1978,Gable,832,2050,4,8,529
1639,20,80,10928,Inside,NWAmes,1Fam,1Story,6,6,1978,Gable,1427,1671,3,7,484
1640,60,NA,12388,Inside,NWAmes,1Fam,2Story,7,7,1980,Gable,1043,2673,4,9,441
1641,20,80,11088,Inside,NWAmes,1Fam,1Story,6,5,1978,Gable,1140,1707,3,7,479
1642,60,70,7000,Inside,Somerst,1Fam,2Story,7,5,2003,Gable,926,1884,3,7,581
1643,60,NA,7500,Inside,Somerst,1Fam,2Story,8,5,2000,Gable,1058,1874,3,7,588
1644,60,NA,8470,Corner,Somerst,1Fam,2Story,8,5,2002,Gable,972,1811,3,7,565
1645,20,NA,9373,CulDSac,NWAmes,1Fam,1Story,5,7,1975,Gable,1621,1621,3,7,478
1646,20,78,10140,Inside,NWAmes,1Fam,1Story,6,6,1974,Hip,1116,1116,3,6,528
1647,20,85,11050,Corner,NWAmes,1Fam,1Story,7,5,1975,Gable,1176,1193,3,5,506
1648,20,NA,7830,Inside,NAmes,1Fam,1Story,5,5,1970,Gable,1180,1180,2,6,477
1649,20,NA,8510,Inside,NAmes,1Fam,1Story,5,7,1971,Gable,1043,1050,3,6,336
1650,20,60,7038,Inside,NAmes,1Fam,1Story,4,6,1970,Gable,864,864,3,5,576
1651,20,60,9000,FR2,NAmes,1Fam,1Story,4,7,1971,Gable,864,864,3,5,576
1652,160,21,1680,Inside,BrDale,Twnhs,2Story,6,5,1973,Gable,483,987,2,5,264
1653,160,21,1680,Inside,BrDale,Twnhs,2Story,6,6,1972,Gable,483,987,2,5,288
1654,160,24,2308,FR2,NPkVill,TwnhsE,2Story,6,5,1976,Gable,804,1548,3,7,440
1655,120,24,2280,FR2,NPkVill,Twnhs,1Story,7,5,1975,Gable,1057,1055,2,4,440
1656,160,24,2349,Inside,NPkVill,Twnhs,2Story,6,5,1977,Gable,855,1456,3,6,440
1657,160,24,2364,Inside,NPkVill,TwnhsE,2Story,6,5,1978,Gable,804,1548,3,7,440
1658,160,24,2364,Inside,NPkVill,TwnhsE,2Story,6,5,1978,Gable,855,1456,3,6,440
1659,120,24,2104,Inside,NPkVill,TwnhsE,1Story,7,6,1976,Gable,836,836,2,5,345
1660,20,NA,10710,Inside,NAmes,1Fam,1Story,5,7,1966,Hip,864,1120,3,5,656
1661,60,110,14257,Inside,NridgHt,1Fam,2Story,9,5,2007,Hip,1776,2772,4,10,754
1662,60,95,12350,Inside,NridgHt,1Fam,2Story,9,5,2009,Gable,1365,2690,3,8,864
1663,20,95,12350,Inside,NridgHt,1Fam,1Story,9,5,2008,Hip,2020,2020,3,7,896
1664,20,105,13693,Inside,NridgHt,1Fam,1Story,10,5,2007,Hip,2630,2674,2,8,762
1665,20,95,11578,Inside,NridgHt,1Fam,1Story,9,5,2008,Gable,1736,1736,3,7,834
1666,20,129,16870,FR3,NridgHt,1Fam,1Story,8,5,2004,Hip,1782,1782,3,7,932
1667,60,59,23303,CulDSac,NridgHt,1Fam,2Story,8,5,2007,Gable,1508,2520,5,10,640
1668,20,87,10367,Inside,NridgHt,1Fam,1Story,9,5,2008,Hip,1739,1743,3,8,927
1669,20,77,10872,Inside,NridgHt,1Fam,1Story,9,5,2006,Gable,1504,1531,2,6,700
1670,20,102,13514,Corner,NridgHt,1Fam,1Story,9,5,2008,Hip,1774,1808,3,7,850
1671,20,90,12878,Corner,NridgHt,1Fam,1Story,7,5,2003,Hip,1760,1760,3,8,583
1672,20,110,15274,Corner,NridgHt,1Fam,1Story,9,5,2003,Hip,2452,2452,3,10,886
1673,60,96,13262,Inside,NridgHt,1Fam,2Story,8,5,2003,Gable,1082,2400,4,10,730
1674,20,70,9658,Inside,NridgHt,1Fam,1Story,8,5,2006,Gable,1598,1606,3,6,871
1675,120,47,6904,Inside,NridgHt,TwnhsE,1Story,6,5,2005,Gable,1358,1358,2,6,484
1676,120,34,5122,Inside,NridgHt,Twnhs,1Story,6,5,2005,Gable,1306,1306,1,5,624
1677,120,80,10307,Inside,NridgHt,TwnhsE,1Story,7,5,2007,Gable,1350,1358,2,6,484
1678,20,100,14836,Inside,NridgHt,1Fam,1Story,10,5,2004,Hip,2492,2492,2,8,949
1679,20,117,15262,Corner,NridgHt,1Fam,1Story,8,5,2003,Hip,2200,2200,3,8,685
1680,120,44,7390,Inside,NridgHt,TwnhsE,1Story,9,5,2008,Hip,1884,1884,2,6,649
1681,120,48,6472,Inside,NridgHt,TwnhsE,1Story,9,5,2008,Hip,1451,1456,2,6,539
1682,20,129,16770,Corner,NridgHt,1Fam,1Story,8,5,2002,Hip,1712,1712,3,8,701
1683,120,48,3480,Inside,NridgHt,TwnhsE,1Story,7,5,2003,Gable,1405,1405,2,6,478
1684,60,63,10928,Inside,Gilbert,1Fam,2Story,7,5,2005,Gable,728,1456,3,8,390
1685,60,57,8918,Inside,Gilbert,1Fam,2Story,6,5,2005,Gable,745,1490,3,7,392
1686,120,43,3182,Inside,Blmngtn,TwnhsE,1Story,7,5,2005,Gable,1220,1220,2,5,397
1687,80,59,9434,Inside,Gilbert,1Fam,SLvl,7,5,2004,Gable,384,1374,3,6,400
1688,60,62,7984,Inside,Gilbert,1Fam,2Story,7,5,2004,Gable,868,1630,3,7,436
1689,60,61,10125,Inside,Gilbert,1Fam,2Story,7,5,2004,Gable,846,1594,3,7,434
1690,60,NA,8965,Inside,Gilbert,1Fam,2Story,7,5,2003,Gable,782,1489,3,8,400
1691,60,NA,8174,Inside,Gilbert,1Fam,2Story,7,5,2003,Gable,698,1342,3,7,393
1692,60,NA,12891,Corner,Gilbert,1Fam,2Story,8,5,2002,Gable,870,2004,4,8,644
1693,80,61,9734,Inside,Gilbert,1Fam,SLvl,7,5,2004,Gable,384,1374,3,7,400
1694,60,42,8433,Inside,Gilbert,1Fam,2Story,6,5,2000,Gable,794,1514,3,7,394
1695,80,62,7750,Inside,Gilbert,1Fam,SLvl,7,5,1999,Gable,384,1430,3,7,400
1696,60,NA,15896,CulDSac,Gilbert,1Fam,2Story,7,5,1999,Gable,1177,2312,4,8,658
1697,80,64,7848,Inside,Gilbert,1Fam,SLvl,7,6,1999,Gable,384,1430,3,7,410
1698,60,106,12720,Inside,NoRidge,1Fam,2Story,8,5,2000,Gable,1455,2687,4,10,810
1699,20,NA,10750,CulDSac,NoRidge,1Fam,1Story,8,5,1994,Hip,2024,2063,3,7,815
1700,60,79,9085,Inside,NoRidge,1Fam,2Story,7,5,1995,Gable,1070,2061,3,7,647
1701,60,NA,11692,Inside,NoRidge,1Fam,2Story,8,5,1993,Gable,1173,2232,3,8,623
1702,20,86,11194,Inside,Somerst,1Fam,1Story,8,5,2008,Gable,1696,1696,3,7,972
1703,20,78,10206,Inside,Somerst,1Fam,1Story,8,5,2008,Gable,1614,1658,3,7,726
1704,20,85,10130,Inside,Somerst,1Fam,1Story,8,5,2007,Gable,1702,1702,3,7,844
1705,20,76,9139,Inside,Somerst,1Fam,1Story,8,5,2006,Hip,1422,1432,3,7,492
1706,20,85,11128,Corner,Somerst,1Fam,1Story,9,5,2005,Hip,2458,2490,2,9,795
1707,20,90,7993,Inside,Somerst,1Fam,1Story,7,5,2008,Gable,1436,1436,3,6,529
1708,20,72,8640,Inside,Somerst,1Fam,1Story,7,5,2008,Hip,1402,1402,3,7,625
1709,20,112,12606,Inside,Somerst,1Fam,1Story,9,5,2007,Gable,1530,1530,3,7,984
1710,20,75,7500,Inside,Somerst,1Fam,1Story,8,5,2006,Gable,1372,1448,2,6,692
1711,60,84,10603,Inside,Somerst,1Fam,2Story,8,5,2006,Hip,900,1795,3,8,782
1712,20,65,8125,Corner,Somerst,1Fam,1Story,8,5,2008,Hip,1836,1836,3,8,517
1713,20,85,10625,Inside,Somerst,1Fam,1Story,7,5,2006,Gable,1652,1662,3,8,711
1714,20,68,8736,Inside,Somerst,1Fam,1Story,7,5,2003,Gable,1553,1553,3,6,588
1715,60,65,8127,Inside,Somerst,1Fam,2Story,7,5,2003,Gable,812,1653,3,6,628
1716,20,80,9605,Corner,SawyerW,1Fam,1Story,7,6,2007,Gable,1218,1218,3,6,576
1717,20,63,7500,Inside,SawyerW,1Fam,1Story,7,5,2006,Gable,1141,1141,3,6,484
1718,20,63,7500,Inside,SawyerW,1Fam,1Story,6,5,2004,Gable,1158,1158,3,5,0
1719,60,96,10628,Corner,SawyerW,1Fam,2Story,7,5,2004,Gable,835,1812,3,8,478
1720,20,76,10141,Inside,SawyerW,1Fam,1Story,8,5,2004,Gable,1512,1512,3,6,845
1721,20,63,13072,Inside,SawyerW,1Fam,1Story,7,5,2004,Gable,1114,1114,3,6,576
1722,20,63,13072,Inside,SawyerW,1Fam,1Story,5,5,2004,Gable,1114,1114,3,6,0
1723,20,60,12450,Inside,SawyerW,1Fam,1Story,5,5,2003,Gable,1114,1114,3,6,576
1724,20,61,7328,Inside,SawyerW,1Fam,1Story,7,5,2008,Gable,1450,1450,2,6,788
1725,60,43,11492,CulDSac,SawyerW,1Fam,2Story,7,5,1996,Gable,913,2122,4,8,559
